full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Bastiaans,19,1017878400,2002/04/04,Eredivisie,2020/2021,Midfielder,VVV,22,22,0,Netherlands,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,-1,-1,-1,24
Aaron Meijers,33,562377600,1987/10/28,Eredivisie,2020/2021,Defender,Sparta Rotterdam,1120,556,564,Netherlands,24,13,11,0,0,0,5,4,1,0,0,7,5,2,11,5,6,2,0,0.4,0.4,0,0,0,0,0.88,102,47,560,224,0.16,351,13,18,15
Aaron Menelik,19,1016064000,2002/03/14,Eredivisie,2020/2021,Midfielder,Willem II,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdenasser El Khayati,32,602812800,1989/02/07,Eredivisie,2020/2021,Forward,ADO Den Haag,871,409,462,Netherlands,11,5,6,2,2,0,1,0,1,1,1,2,1,1,21,9,12,1,0,0.31,0.1,0.21,0.44,0,436,2.17,41,79,871,871,0.1,100,142,-1,6
Abdou Harroui,23,884649600,1998/01/13,Eredivisie,2020/2021,Midfielder,Sparta Rotterdam,2846,1384,1462,Netherlands,33,16,17,6,4,2,2,2,0,0,0,9,6,3,39,21,18,1,0,0.25,0.06,0.19,0.26,0.12,474,1.23,73,86,2846,1423,0.03,106,189,-1,2
Achraf El Bouchataoui,21,947635200,2000/01/12,Eredivisie,2020/2021,Midfielder,Feyenoord,138,138,0,Netherlands,5,4,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,-1,-1,-1,16
Adam Maher,28,743126400,1993/07/20,Eredivisie,2020/2021,Midfielder,Utrecht,2361,1043,1318,Netherlands,27,12,15,2,1,1,4,2,2,1,1,9,3,6,27,14,13,5,0,0.23,0.15,0.08,0.09,0.07,1181,1.03,87,87,472,590,0.19,179,96,-1,9
Adil Auassar,35,528940800,1986/10/06,Eredivisie,2020/2021,Midfielder,Sparta Rotterdam,2457,1250,1207,Netherlands,31,16,15,0,0,0,1,1,0,0,0,10,6,4,33,20,13,6,1,0.04,0.04,0,0,0,0,1.21,74,79,351,2457,0.26,316,206,-1,19
Adnan Ugur,20,993686400,2001/06/28,Eredivisie,2020/2021,Midfielder,Fortuna Sittard,0,0,0,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adrián Dalmau Vaquer,27,764380800,1994/03/23,Eredivisie,2020/2021,Forward,Utrecht,710,534,176,Spain,20,12,8,4,2,2,0,0,0,0,0,5,2,3,8,7,1,2,1,0.51,0,0.51,0.34,1.02,178,1.01,89,36,355,0,0.25,17,283,-1,5
