full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdoulaye Ba,30,662688000,1991/01/01,Liga NOS,2011/2012,Defender,Associação Académica de Coimbra OAF,1873,894,979,Senegal,22,11,11,1,1,0,0,0,0,0,0,7,6,1,27,7,20,13,4,0.05,0,0.05,0.1,0,1873,1.3,69,85,110,0,0.82,158,42,82,9
Abdullah Fareed Al Hafith,28,725241600,1992/12/25,Liga NOS,2011/2012,Defender,União de Leiria,360,180,180,Saudi Arabia,4,2,2,0,0,0,0,0,0,0,0,0,0,0,7,5,2,2,0,0,0,0,0,0,0,1.75,51,90,180,0,0.5,199,113,134,16
Abel Issa Camará,31,631584000,1990/01/06,Liga NOS,2011/2012,Forward,SC Beira-Mar,541,291,250,Guinea-Bissau,9,5,4,0,0,0,0,0,0,0,0,1,1,0,10,5,5,1,0,0,0,0,0,0,0,1.66,54,60,541,0,0.17,193,122,-1,16
Adilson Tibes Granemann,39,378691200,1982/01/01,Liga NOS,2011/2012,Forward,CS Marítimo,32,31,1,Brazil,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,-1,-1,25
Adriano Facchini,38,416275200,1983/03/12,Liga NOS,2011/2012,Goalkeeper,Gil Vicente,2656,1306,1350,Brazil,30,15,15,0,0,0,0,0,0,0,0,10,5,5,37,14,23,2,0,0,0,0,0,0,0,1.25,72,89,1328,0,0.07,233,1,68,12
Adrien Sebastian Perruchet Silva,32,605923200,1989/03/15,Liga NOS,2011/2012,Midfielder,Associação Académica de Coimbra OAF,2443,1324,1119,Portugal,28,15,13,4,2,2,0,0,0,1,0,9,7,2,31,12,19,9,0,0.15,0,0.15,0.14,0.16,611,1.14,79,87,271,0,0.33,110,18,-1,3
Alan Osório da Costa Silva,41,306547200,1979/09/19,Liga NOS,2011/2012,Forward,Sporting Braga,2018,1058,960,Portugal,23,12,11,3,3,0,0,0,0,0,0,9,5,4,18,7,11,5,0,0.13,0,0.13,0.26,0,673,0.8,112,88,404,0,0.22,121,190,-1,8
Albert Meyong Zé,40,340761600,1980/10/19,Liga NOS,2011/2012,Forward,Vitória Setúbal,795,446,349,Cameroon,12,6,6,3,3,0,0,0,0,1,0,6,3,3,11,7,4,2,0,0.34,0,0.34,0.61,0,265,1.25,72,66,398,0,0.23,37,187,-1,1
Alberto Junior Rodríguez Valdelomar,37,449539200,1984/03/31,Liga NOS,2011/2012,Defender,Sporting CP,542,226,316,Peru,7,3,4,0,0,0,0,0,0,0,0,3,2,1,7,1,6,2,0,0,0,0,0,0,0,1.16,77,77,271,0,0.33,260,181,60,28
Aldo Geraldo Manuel Monteiro,26,786153600,1994/11/30,Liga NOS,2011/2012,Goalkeeper,Porto,7,0,7,Angola,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,30
