full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aarón Martín,24,861667200,1997/04/22,Bundesliga,2020/2021,Defender,Mainz 05,261,94,167,Spain,5,2,3,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0.69,131,52,0,0,0,-1,-1,-1,20
Ádám Szalai,33,566006400,1987/12/09,Bundesliga,2020/2021,Forward,Mainz 05,732,350,382,Hungary,18,9,9,1,0,1,0,0,0,0,0,4,2,2,7,4,3,1,0,0.12,0,0.12,0,0.24,732,0.86,105,41,732,0,0.12,150,241,-1,12
Ademola Lookman,23,877305600,1997/10/20,Bundesliga,2020/2021,Forward,RB Leipzig,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Admir Mehmedi,30,669081600,1991/03/16,Bundesliga,2020/2021,Forward,Wolfsburg,819,419,400,Switzerland,18,9,9,0,0,0,2,2,0,0,0,7,5,2,5,4,1,0,0,0.22,0.22,0,0,0,0,0.55,164,46,0,410,0,390,57,-1,22
Adrian Fein,22,921715200,1999/03/18,Bundesliga,2020/2021,Midfielder,Bayern München,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ahmed Kutucu,21,951868800,2000/03/01,Bundesliga,2020/2021,Forward,Schalke 04,101,55,46,Germany,7,4,3,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,1.78,51,14,101,0,0.89,-1,-1,-1,33
Ajdin Hrustic,25,836524800,1996/07/05,Bundesliga,2020/2021,Midfielder,Eintracht Frankfurt,265,182,83,Australia,11,6,5,1,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0.34,0,0.34,0.49,0,265,0,0,24,133,0,0.68,-1,-1,-1,15
Akaki Gogia,29,695692800,1992/01/18,Bundesliga,2020/2021,Midfielder,Union Berlin,134,95,39,Germany,7,4,3,0,0,0,1,1,0,0,0,1,1,0,2,1,1,1,0,0.67,0.67,0,0,0,0,1.34,67,19,134,134,0.67,-1,-1,-1,24
Alassane Pléa,28,731721600,1993/03/10,Bundesliga,2020/2021,Forward,Borussia M'gladbach,1805,863,942,France,29,13,16,6,1,5,1,1,0,0,0,7,4,3,26,7,19,2,0,0.35,0.05,0.3,0.1,0.48,301,1.3,69,62,903,1805,0.1,60,206,-1,5
Aleksandar Dragović,30,668217600,1991/03/06,Bundesliga,2020/2021,Defender,Bayer Leverkusen,1130,574,556,Austria,18,11,7,1,0,1,0,0,0,0,0,4,1,3,13,7,6,3,0,0.08,0,0.08,0,0.16,1130,1.04,87,63,377,0,0.24,176,246,19,13
Alessandro Schöpf,27,760579200,1994/02/07,Bundesliga,2020/2021,Midfielder,Schalke 04,941,290,651,Austria,19,8,11,0,0,0,0,0,0,0,0,1,1,0,30,5,25,0,0,0,0,0,0,0,0,2.87,31,50,0,0,0,303,324,-1,31
Alexander Hack,28,747446400,1993/09/08,Bundesliga,2020/2021,Defender,Mainz 05,1365,708,657,Germany,21,11,10,1,0,1,0,0,0,0,0,3,1,2,24,10,14,2,0,0.07,0,0.07,0,0.14,1365,1.58,57,65,683,0,0.13,195,279,103,11
Alexander Nübel,25,844041600,1996/09/30,Bundesliga,2020/2021,Goalkeeper,Bayern München,90,0,90,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,24
Alexander Schwolow,29,707443200,1992/06/02,Bundesliga,2020/2021,Goalkeeper,Hertha BSC,2340,1170,1170,Germany,26,13,13,0,0,0,0,0,0,0,0,8,5,3,36,21,15,0,0,0,0,0,0,0,0,1.38,65,90,0,0,0,343,378,70,20
Alexander Sørloth,25,818121600,1995/12/05,Bundesliga,2020/2021,Forward,RB Leipzig,1430,734,696,Norway,29,15,14,5,2,3,3,2,1,0,1,14,8,6,13,5,8,2,0,0.5,0.19,0.31,0.25,0.39,286,0.82,110,49,715,477,0.13,52,76,-1,4
Alfons Amade,21,942364800,1999/11/12,Bundesliga,2020/2021,Defender,Hoffenheim,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alfreð Finnbogason,32,602294400,1989/02/01,Bundesliga,2020/2021,Forward,Augsburg,535,294,241,Iceland,17,10,7,0,0,0,1,1,0,0,2,5,3,2,7,6,1,0,0,0.17,0.17,0,0,0,0,1.18,76,31,0,535,0,386,84,-1,18
Alkhaly Momo Cissé,0,0,1970/01/01,Bundesliga,2020/2021,Forward,Stuttgart,32,25,7,France,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,32,0,2.81,-1,-1,-1,26
Almamy Touré,25,830649600,1996/04/28,Bundesliga,2020/2021,Defender,Eintracht Frankfurt,703,323,380,Mali,17,9,8,1,1,0,1,1,0,0,0,2,1,1,12,4,8,2,0,0.26,0.13,0.13,0.28,0,703,1.54,59,41,352,703,0.26,144,117,97,16
Alphonso Davies,20,973123200,2000/11/02,Bundesliga,2020/2021,Midfielder,Bayern München,1768,896,872,Canada,23,12,11,1,1,0,2,1,1,0,0,5,4,1,31,15,16,3,1,0.15,0.1,0.05,0.1,0,1768,1.58,57,77,442,884,0.2,220,139,-1,11
Amadou Haidara,23,886204800,1998/01/31,Bundesliga,2020/2021,Midfielder,RB Leipzig,1908,911,997,Mali,31,15,16,3,2,1,1,0,1,0,0,14,8,6,20,6,14,4,0,0.19,0.05,0.14,0.2,0.09,636,0.94,95,62,477,1908,0.19,135,201,-1,9
Amin Younes,28,744595200,1993/08/06,Bundesliga,2020/2021,Forward,Eintracht Frankfurt,1397,593,804,Germany,26,11,15,3,2,1,3,0,3,0,0,4,2,2,22,6,16,5,0,0.39,0.19,0.19,0.3,0.11,466,1.42,64,54,279,466,0.32,98,74,-1,7
Amine Harit,24,866592000,1997/06/18,Bundesliga,2020/2021,Midfielder,Schalke 04,2111,983,1128,France,28,14,14,2,2,0,5,4,1,0,0,3,2,1,58,21,37,4,0,0.3,0.21,0.09,0.18,0,1056,2.47,36,75,528,422,0.17,174,64,-1,3
Amir Abrashi,31,638496000,1990/03/27,Bundesliga,2020/2021,Midfielder,Freiburg,56,0,56,Albania,5,1,4,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.61,56,11,0,0,0,-1,-1,-1,21
Amos Pieper,23,884995200,1998/01/17,Bundesliga,2020/2021,Midfielder,Arminia Bielefeld,2684,1350,1334,Germany,30,15,15,1,0,1,1,1,0,0,0,11,6,5,47,21,26,6,0,0.07,0.03,0.03,0,0.07,2684,1.58,57,89,447,2684,0.2,238,221,-1,7
Anderson-Lenda Lucoqui,24,868147200,1997/07/06,Bundesliga,2020/2021,Defender,Arminia Bielefeld,1607,852,755,Germany,21,12,9,0,0,0,0,0,0,0,0,6,4,2,23,12,11,5,0,0,0,0,0,0,0,1.29,70,77,321,0,0.28,257,338,50,24
André Hahn,31,650505600,1990/08/13,Bundesliga,2020/2021,Forward,Augsburg,2047,1122,925,Germany,29,15,14,8,4,4,3,1,2,0,0,6,3,3,33,15,18,4,0,0.48,0.13,0.35,0.32,0.39,256,1.45,62,71,512,682,0.18,43,119,-1,1
André Silva,25,815616000,1995/11/06,Bundesliga,2020/2021,Forward,Eintracht Frankfurt,2771,1393,1378,Portugal,32,16,16,28,13,15,5,5,0,7,0,4,2,2,44,17,27,1,0,1.07,0.16,0.91,0.84,0.98,99,1.43,63,87,2771,554,0.03,3,99,-1,1
Andreas Luthe,34,542332800,1987/03/10,Bundesliga,2020/2021,Goalkeeper,Union Berlin,2769,1329,1440,Germany,31,15,16,0,0,0,0,0,0,0,0,5,3,2,41,17,24,1,0,0,0,0,0,0,0,1.33,68,89,2769,0,0.03,364,292,56,27
Andreas Voglsammer,29,694915200,1992/01/09,Bundesliga,2020/2021,Forward,Arminia Bielefeld,1002,453,549,Germany,18,9,9,2,1,1,2,0,2,0,0,6,3,3,14,6,8,1,0,0.36,0.18,0.18,0.2,0.16,501,1.26,72,56,1002,501,0.09,109,80,-1,3
Andrej Kramarić,30,677289600,1991/06/19,Bundesliga,2020/2021,Forward,Hoffenheim,2386,1230,1156,Croatia,28,15,13,20,10,10,5,5,0,5,0,6,4,2,41,19,22,2,0,0.94,0.19,0.75,0.73,0.78,119,1.55,58,85,1193,477,0.08,5,78,-1,1
Ansgar Knauff,19,1010620800,2002/01/10,Bundesliga,2020/2021,Midfielder,Borussia Dortmund,68,35,33,Germany,4,2,2,1,0,1,1,0,1,0,0,0,0,0,2,1,1,0,0,2.65,1.32,1.32,0,2.73,68,2.65,34,17,0,68,0,-1,-1,-1,10
Anthony Modeste,33,576979200,1988/04/14,Bundesliga,2020/2021,Forward,Köln,215,66,149,France,8,4,4,0,0,0,0,0,0,0,1,2,1,1,6,1,5,1,0,0,0,0,0,0,0,2.51,36,27,215,0,0.42,-1,-1,-1,13
Antonis Aidonis,20,990489600,2001/05/22,Bundesliga,2020/2021,Defender,Stuttgart,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Armindo Sieb,18,1045440000,2003/02/17,Bundesliga,2020/2021,Forward,Bayern München,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Arne Maier,22,915753600,1999/01/08,Bundesliga,2020/2021,Midfielder,Arminia Bielefeld,1068,546,522,Germany,18,10,8,0,0,0,0,0,0,0,0,6,4,2,16,4,12,0,0,0,0,0,0,0,0,1.35,67,59,0,0,0,335,383,-1,14
Atakan Karazor,24,845164800,1996/10/13,Bundesliga,2020/2021,Midfielder,Stuttgart,1030,614,416,Germany,19,11,8,0,0,0,0,0,0,0,0,4,2,2,18,13,5,3,0,0,0,0,0,0,0,1.57,57,54,343,0,0.26,306,281,-1,17
Axel Witsel,32,600566400,1989/01/12,Bundesliga,2020/2021,Midfielder,Borussia Dortmund,1130,559,571,Belgium,15,7,8,0,0,0,0,0,0,0,0,6,4,2,17,9,8,4,0,0,0,0,0,0,0,1.35,66,75,283,0,0.32,346,345,-1,25
Aymen Barkok,23,895708800,1998/05/21,Bundesliga,2020/2021,Midfielder,Eintracht Frankfurt,966,630,336,Germany,26,13,13,2,2,0,3,1,2,0,0,3,1,2,12,8,4,5,0,0.47,0.28,0.19,0.29,0,483,1.12,81,37,193,322,0.47,97,34,-1,9
Baptiste Santamaria,26,794707200,1995/03/09,Bundesliga,2020/2021,Midfielder,Freiburg,2221,1185,1036,France,30,14,16,1,0,1,2,2,0,0,0,6,4,2,35,18,17,5,0,0.12,0.08,0.04,0,0.09,2221,1.42,63,74,444,1111,0.2,229,157,-1,12
Bartosz Bialek,19,1005436800,2001/11/11,Bundesliga,2020/2021,Forward,Wolfsburg,253,160,93,Poland,19,8,11,2,1,1,0,0,0,0,0,9,4,5,1,1,0,1,0,0.71,0,0.71,0.56,0.97,127,0.36,253,13,253,0,0.36,-1,-1,-1,10
Bas Dost,32,612576000,1989/05/31,Bundesliga,2020/2021,Forward,Eintracht Frankfurt,816,287,529,Netherlands,12,5,7,4,1,3,2,2,0,1,0,1,0,1,15,3,12,3,0,0.66,0.22,0.44,0.31,0.51,204,1.65,54,68,272,408,0.33,24,59,-1,3
Bastian Oczipka,32,600566400,1989/01/12,Bundesliga,2020/2021,Defender,Schalke 04,1918,1162,756,Germany,27,16,11,0,0,0,2,1,1,0,0,3,3,0,55,27,28,1,0,0.09,0.09,0,0,0,0,2.58,35,71,1918,959,0.05,272,151,148,38
Benito Raman,26,784166400,1994/11/07,Bundesliga,2020/2021,Forward,Schalke 04,1246,844,402,Belgium,25,15,10,2,0,2,0,0,0,0,0,3,2,1,33,18,15,2,0,0.14,0,0.14,0,0.45,623,2.38,38,50,623,0,0.14,132,325,-1,5
Benjamin Henrichs,24,856656000,1997/02/23,Bundesliga,2020/2021,Defender,RB Leipzig,535,224,311,Germany,13,6,7,0,0,0,1,0,1,0,0,6,3,3,7,3,4,3,0,0.17,0.17,0,0,0,0,1.18,76,41,178,535,0.5,375,94,32,22
Benjamin Pavard,25,827971200,1996/03/28,Bundesliga,2020/2021,Defender,Bayern München,1944,897,1047,France,24,12,12,0,0,0,0,0,0,0,0,7,4,3,27,13,14,3,0,0,0,0,0,0,0,1.25,72,81,648,0,0.14,279,318,46,26
Benjamin Stambouli,31,650505600,1990/08/13,Bundesliga,2020/2021,Midfielder,Schalke 04,1956,946,1010,France,24,12,12,0,0,0,2,0,2,0,0,4,3,1,52,21,31,5,0,0.09,0.09,0,0,0,0,2.39,38,82,391,978,0.23,270,147,-1,27
Benjamin Uphoff,28,744768000,1993/08/08,Bundesliga,2020/2021,Goalkeeper,Freiburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Benno Schmitz,26,785030400,1994/11/17,Bundesliga,2020/2021,Defender,Köln,412,111,301,Germany,12,5,7,0,0,0,1,0,1,0,0,4,1,3,8,0,8,0,0,0.22,0.22,0,0,0,0,1.75,52,34,0,412,0,293,62,125,15
Borna Sosa,23,885340800,1998/01/21,Bundesliga,2020/2021,Defender,Stuttgart,2047,1150,897,Croatia,26,14,12,0,0,0,9,6,3,0,0,4,3,1,32,18,14,2,0,0.4,0.4,0,0,0,0,1.41,64,79,1024,227,0.09,333,16,78,24
Bote Baku,23,891993600,1998/04/08,Bundesliga,2020/2021,Midfielder,Wolfsburg,2868,1380,1488,Germany,34,17,17,6,2,4,6,3,3,0,0,13,8,5,41,20,21,1,0,0.38,0.19,0.19,0.13,0.24,478,1.29,70,84,2868,478,0.03,101,77,-1,3
Bouna Sarr,29,696816000,1992/01/31,Bundesliga,2020/2021,Forward,Bayern München,450,246,204,Guinea,8,4,4,0,0,0,1,1,0,0,0,2,2,0,9,4,5,1,0,0.2,0.2,0,0,0,0,1.8,50,56,450,450,0.2,292,68,-1,18
Breel Embolo,24,855878400,1997/02/14,Bundesliga,2020/2021,Forward,Borussia M'gladbach,1434,801,633,Switzerland,31,15,16,5,3,2,2,1,1,0,0,6,3,3,27,10,17,4,0,0.44,0.13,0.31,0.34,0.28,287,1.69,53,46,359,717,0.25,53,112,-1,6
Brian Behrendt,29,688262400,1991/10/24,Bundesliga,2020/2021,Defender,Arminia Bielefeld,77,33,44,Germany,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.17,77,26,0,0,0,-1,-1,-1,16
Brooklyn Ezeh,20,993254400,2001/06/23,Bundesliga,2020/2021,Defender,Schalke 04,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Can Bozdogan,20,986428800,2001/04/05,Bundesliga,2020/2021,Midfielder,Schalke 04,648,277,371,Germany,14,5,9,0,0,0,1,0,1,0,0,2,2,0,15,2,13,0,0,0.14,0.14,0,0,0,0,2.08,43,46,0,648,0,248,111,-1,34
Carlo Boukhalfa,22,925689600,1999/05/03,Bundesliga,2020/2021,Midfielder,Freiburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
