full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Leya Iseka,23,879552000,1997/11/15,Ligue 1,2018/2019,Forward,Toulouse,1437,626,811,Belgium,28,15,13,4,4,0,0,0,0,0,0,8,4,4,20,9,11,3,1,0.25,0,0.25,0.58,0,359,1.25,72,51,359,0,0.25,66,288,-1,3
Abdallah Ali Mohamed,22,923788800,1999/04/11,Ligue 1,2018/2019,Forward,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdallah N'Dour,27,756345600,1993/12/20,Ligue 1,2018/2019,Defender,Strasbourg,295,80,215,Senegal,4,1,3,0,0,0,0,0,0,0,0,2,1,1,3,0,3,0,0,0,0,0,0,0,0,0.92,98,74,0,0,0,377,414,29,20
Abdel Malik Hsissane,30,665020800,1991/01/28,Ligue 1,2018/2019,Midfielder,Nîmes,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdoulaye Bamba,30,641001600,1990/04/25,Ligue 1,2018/2019,Defender,Angers SCO,2573,1406,1167,Côte d'Ivoire,30,16,14,0,0,0,4,3,1,0,0,12,7,5,31,17,14,6,0,0.14,0.14,0,0,0,0,1.08,83,86,429,643,0.21,359,91,59,23
Abdoulaye Dabo,20,983664000,2001/03/04,Ligue 1,2018/2019,Midfielder,Nantes,118,118,0,France,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.53,59,59,0,0,0,-1,-1,-1,30
Abdoulaye Diallo,29,701913600,1992/03/30,Ligue 1,2018/2019,Goalkeeper,Rennes,496,226,270,Senegal,6,3,3,0,0,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0.73,124,83,0,0,0,394,385,14,20
Abdoulaye Jules Keita,22,900892800,1998/07/20,Ligue 1,2018/2019,Midfielder,Dijon,442,245,197,Guinea,17,9,8,2,0,2,1,0,1,0,0,4,2,2,6,4,2,3,0,0.61,0.2,0.41,0,0.91,221,1.22,74,26,147,442,0.61,28,51,-1,9
Abdoulaye Touré,27,762652800,1994/03/03,Ligue 1,2018/2019,Midfielder,Nantes,2748,1430,1318,France,34,16,18,3,3,0,1,1,0,0,0,7,5,2,35,19,16,5,1,0.13,0.03,0.1,0.19,0,916,1.15,79,81,458,2748,0.2,160,235,-1,6
Abdul Majeed Waris,29,685238400,1991/09/19,Ligue 1,2018/2019,Forward,Nantes,2255,1146,1109,Ghana,33,17,16,5,5,0,3,2,1,1,0,7,6,1,30,16,14,3,0,0.32,0.12,0.2,0.39,0,451,1.2,75,68,752,752,0.12,93,114,-1,3
Abdul Rahman Baba,26,773107200,1994/07/02,Ligue 1,2018/2019,Defender,Reims,965,515,450,Ghana,11,6,5,1,1,0,1,1,0,0,0,3,2,1,15,7,8,3,0,0.19,0.09,0.09,0.17,0,965,1.4,64,88,322,965,0.28,166,140,136,9
Adam Jakubech,24,852163200,1997/01/02,Ligue 1,2018/2019,Goalkeeper,Lille,0,0,0,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adama Mbengue,27,754704000,1993/12/01,Ligue 1,2018/2019,Midfielder,Caen,739,244,495,Senegal,11,3,8,0,0,0,0,0,0,0,0,2,0,2,12,5,7,3,0,0,0,0,0,0,0,1.46,62,67,246,0,0.37,384,425,-1,10
Adama Traoré,25,804297600,1995/06/28,Ligue 1,2018/2019,Midfielder,Monaco,240,113,127,Mali,6,3,3,0,0,0,1,1,0,0,0,0,0,0,5,2,3,0,0,0.38,0.38,0,0,0,0,1.88,48,40,0,240,0,-1,-1,-1,34
Adil Rami,35,504489600,1985/12/27,Ligue 1,2018/2019,Defender,Olympique Marseille,1414,630,784,France,16,7,9,1,1,0,1,1,0,0,0,5,4,1,21,5,16,2,0,0.13,0.06,0.06,0.14,0,1414,1.34,67,88,707,1414,0.13,201,186,123,12
Adrien Hunou,27,758937600,1994/01/19,Ligue 1,2018/2019,Midfielder,Rennes,1241,692,549,France,19,10,9,7,4,3,1,1,0,0,0,4,3,1,20,9,11,1,0,0.58,0.07,0.51,0.52,0.49,177,1.45,62,65,1241,1241,0.07,17,167,-1,3
Adrien Rabiot,26,796867200,1995/04/03,Ligue 1,2018/2019,Midfielder,PSG,1063,512,551,France,14,7,7,2,2,0,1,1,0,0,0,7,4,3,7,2,5,3,0,0.25,0.08,0.17,0.35,0,532,0.59,152,76,354,1063,0.25,106,151,-1,10
Adrien Sebastian Perruchet Silva,32,605923200,1989/03/15,Ligue 1,2018/2019,Midfielder,Monaco,1183,558,625,Portugal,15,7,8,0,0,0,0,0,0,0,0,5,4,1,15,4,11,6,0,0,0,0,0,0,0,1.14,79,79,197,0,0.46,276,275,-1,16
Adrien Tameze,26,783907200,1994/11/04,Ligue 1,2018/2019,Midfielder,Nice,2950,1491,1459,France,37,18,19,0,0,0,3,2,1,0,0,15,9,6,29,11,18,7,0,0.09,0.09,0,0,0,0,0.88,102,80,421,983,0.21,328,137,-1,26
Adrien Thomasson,27,755481600,1993/12/10,Ligue 1,2018/2019,Midfielder,Strasbourg,2491,1238,1253,France,34,18,16,5,2,3,8,7,1,0,0,9,4,5,30,17,13,6,1,0.47,0.29,0.18,0.15,0.22,498,1.08,83,73,415,311,0.22,101,17,-1,6
Albert Nicolas Lottin,19,999043200,2001/08/29,Ligue 1,2018/2019,Midfielder,Bordeaux,20,5,15,France,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,15
Aleksandr Golovin,24,833414400,1996/05/30,Ligue 1,2018/2019,Midfielder,Monaco,2300,1178,1122,Russia,30,15,15,3,2,1,3,2,1,0,0,6,4,2,36,17,19,8,1,0.23,0.12,0.12,0.15,0.08,767,1.41,64,77,256,767,0.35,141,106,-1,4
Alexander Djiku,26,776390400,1994/08/09,Ligue 1,2018/2019,Defender,Caen,2755,1495,1260,France,31,17,14,1,0,1,0,0,0,0,0,8,4,4,35,19,16,10,1,0.03,0,0.03,0,0.07,2755,1.14,79,89,250,0,0.36,226,426,70,9
Alexandre Lauray,24,858643200,1997/03/18,Ligue 1,2018/2019,Defender,Bordeaux,258,90,168,France,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,4,1,0,0,0,0,0,0,0,1.74,52,86,258,0,0.35,-1,-1,-1,16
Alexandre Mendy,27,764121600,1994/03/20,Ligue 1,2018/2019,Forward,Guingamp,762,305,457,France,16,7,9,3,1,2,0,0,0,0,0,4,3,1,14,3,11,2,0,0.35,0,0.35,0.3,0.39,254,1.65,54,48,381,0,0.24,41,317,-1,5
Alexandre Olliero,25,824342400,1996/02/15,Ligue 1,2018/2019,Goalkeeper,Nantes,90,90,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,20
Alexandre Tégar,20,966038400,2000/08/12,Ligue 1,2018/2019,Defender,Dijon,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexis Alégué Elandi,24,851299200,1996/12/23,Ligue 1,2018/2019,Midfielder,Nantes,4,4,0,Cameroon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,29
Alexis Blin,24,842832000,1996/09/16,Ligue 1,2018/2019,Midfielder,Amiens SC,1999,979,1020,France,27,13,14,1,0,1,1,0,1,0,0,8,5,3,26,9,17,4,0,0.09,0.05,0.05,0,0.09,1999,1.17,77,74,500,1999,0.18,210,204,-1,9
