full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Samuel Olanare,26,770684400,1994/06/03,Russian Premier League,2015/2016,Forward,CSKA Moskva,299,87,212,Nigeria,7,3,4,2,0,2,0,0,0,0,0,3,2,1,2,1,1,1,0,0.6,0,0.6,0,0.85,150,0.6,150,43,299,0,0.3,10,189,-1,10
Ablay Mbengue,28,705884400,1992/05/14,Russian Premier League,2015/2016,Forward,Akhmat Grozny,723,375,348,Senegal,21,12,9,3,3,0,0,0,0,0,0,5,2,3,6,0,6,2,0,0.37,0,0.37,0.72,0,241,0.75,121,34,362,0,0.25,32,246,-1,4
Adílson Warken,34,537753600,1987/01/16,Russian Premier League,2015/2016,Midfielder,Akhmat Grozny,2168,1063,1105,Brazil,26,13,13,2,1,1,0,0,0,0,0,9,3,6,18,9,9,6,0,0.08,0,0.08,0.08,0.08,1084,0.75,120,83,361,0,0.25,133,243,-1,5
Adis Jahović,34,543024000,1987/03/18,Russian Premier League,2015/2016,Forward,Krylya Sovetov,1102,637,465,FYR Macedonia,16,9,7,3,0,3,1,1,0,0,0,6,3,3,13,10,3,3,0,0.33,0.08,0.25,0,0.58,367,1.06,85,69,367,1102,0.25,53,128,-1,3
Ahissan Junior Landry,24,847584000,1996/11/10,Russian Premier League,2015/2016,Midfielder,Krylya Sovetov,0,0,0,Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ahmed Musa,28,719017200,1992/10/13,Russian Premier League,2015/2016,Forward,CSKA Moskva,2689,1350,1339,Nigeria,30,15,15,13,7,6,5,2,3,0,0,15,9,6,24,9,15,2,0,0.6,0.17,0.44,0.47,0.4,207,0.8,112,90,1345,538,0.07,24,49,-1,1
Alan Chochiev,29,684198000,1991/09/06,Russian Premier League,2015/2016,Midfielder,Krylya Sovetov,1009,413,596,Russia,19,10,9,0,0,0,1,0,1,0,1,7,5,2,9,5,4,1,0,0.09,0.09,0,0,0,0,0.8,112,53,1009,1009,0.09,297,110,-1,10
Alan Dzagoev,30,645577200,1990/06/16,Russian Premier League,2015/2016,Midfielder,CSKA Moskva,2609,1259,1350,Russia,29,14,15,6,2,4,5,4,1,0,1,15,9,6,22,7,15,7,0,0.38,0.17,0.21,0.14,0.27,435,0.76,119,90,373,522,0.24,62,47,-1,2
Alan Kasaev,34,513298800,1986/04/07,Russian Premier League,2015/2016,Midfielder,Lokomotiv Moskva,1768,899,869,Russia,24,12,12,3,1,2,2,0,2,0,0,9,5,4,17,8,9,2,0,0.25,0.1,0.15,0.1,0.21,589,0.87,104,74,884,884,0.1,88,97,-1,6
Albert Sharipov,27,734482800,1993/04/10,Russian Premier League,2015/2016,Midfielder,Rubin Kazan,4,0,4,Russia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22.5,4,4,0,0,0,-1,-1,-1,22
Aleksandr Anyukov,38,402015600,1982/09/27,Russian Premier League,2015/2016,Defender,Zenit,1066,535,531,Russia,15,8,7,0,0,0,0,0,0,0,0,5,3,2,16,5,11,0,0,0,0,0,0,0,0,1.35,67,71,0,0,0,244,253,96,22
Aleksandr Belenov,34,526950000,1986/09/12,Russian Premier League,2015/2016,Goalkeeper,Kuban Krasnodar,2597,1350,1247,Russia,29,15,14,0,0,0,0,0,0,0,0,4,3,1,36,18,18,2,1,0,0,0,0,0,0,1.25,72,90,866,0,0.1,307,309,78,19
Aleksandr Erokhin,31,624236400,1989/10/12,Russian Premier League,2015/2016,Midfielder,Rostov,1724,700,1024,Russia,23,10,13,6,4,2,2,1,1,0,0,10,4,6,19,10,9,6,0,0.42,0.1,0.31,0.51,0.18,287,0.99,91,75,287,862,0.31,41,98,-1,3
Aleksandr Golovin,24,833410800,1996/05/29,Russian Premier League,2015/2016,Midfielder,CSKA Moskva,620,404,216,Russia,17,12,5,1,1,0,0,0,0,0,0,9,8,1,3,0,3,0,0,0.15,0,0.15,0.22,0,620,0.44,207,36,0,0,0,85,234,-1,14
Aleksandr Kalyashin,26,790905600,1995/01/24,Russian Premier League,2015/2016,Defender,Dinamo Moskva,72,0,72,Russia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.25,72,72,0,0,0,-1,-1,-1,20
Aleksandr Katsalapov,34,513039600,1986/04/04,Russian Premier League,2015/2016,Midfielder,Ufa,1152,628,524,Russia,16,10,6,0,0,0,2,1,1,0,0,3,2,1,14,7,7,3,0,0.16,0.16,0,0,0,0,1.09,82,72,384,576,0.23,273,57,-1,19
Aleksandr Kleshchenko,25,815270400,1995/11/02,Russian Premier League,2015/2016,Midfielder,Kuban Krasnodar,308,155,153,Russia,5,2,3,0,0,0,0,0,0,0,0,1,1,0,6,3,3,1,0,0,0,0,0,0,0,1.75,51,62,308,0,0.29,209,231,-1,15
Aleksandr Kokorin,30,669340800,1991/03/19,Russian Premier League,2015/2016,Forward,Zenit,1017,455,562,Russia,18,8,10,6,1,5,0,0,0,1,0,8,2,6,11,7,4,4,1,0.53,0,0.53,0.2,0.8,170,0.97,92,57,203,0,0.44,14,257,-1,4
Aleksandr Kolomeytsev,32,604022400,1989/02/21,Russian Premier League,2015/2016,Midfielder,Lokomotiv Moskva,2207,1159,1048,Russia,28,14,14,3,1,2,3,1,2,0,0,11,7,4,25,10,15,2,0,0.24,0.12,0.12,0.08,0.17,736,1.02,88,79,1104,736,0.08,102,82,-1,7
