full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abass Alhassan,26,790646400,1995/01/21,Serie A,2014/2015,Midfielder,Sassuolo,0,0,0,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdelkader Mohamed Ghezzal,36,471052800,1984/12/05,Serie A,2014/2015,Forward,Parma,1079,482,597,Algeria,19,9,10,0,0,0,0,0,0,0,0,4,4,0,25,5,20,0,0,0,0,0,0,0,0,2.09,43,57,0,0,0,320,297,-1,24
Abdoulay Konko,37,447638400,1984/03/09,Serie A,2014/2015,Defender,Lazio,134,90,44,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.34,67,67,0,0,0,-1,-1,-1,23
Accursio Bentivegna,24,835311600,1996/06/20,Serie A,2014/2015,Forward,Palermo,5,0,5,Italy,3,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,-1,22
Achraf Lazaar,29,696038400,1992/01/22,Serie A,2014/2015,Defender,Palermo,2187,1260,927,Morocco,29,16,13,2,1,1,3,2,1,0,0,4,2,2,32,19,13,2,0,0.21,0.12,0.08,0.07,0.1,1094,1.32,68,75,1094,729,0.08,190,119,114,6
Adem Ljajić,29,686098800,1991/09/28,Serie A,2014/2015,Forward,Roma,2022,973,1049,Serbia,32,17,15,8,4,4,2,1,1,1,1,14,8,6,18,9,9,2,0,0.45,0.09,0.36,0.37,0.34,253,0.8,112,63,1011,1011,0.09,43,161,-1,2
Adil Rami,35,504489600,1985/12/27,Serie A,2014/2015,Defender,AC Milan,1664,1040,624,France,21,12,9,1,0,1,1,0,1,0,0,4,4,0,22,11,11,5,0,0.11,0.05,0.05,0,0.14,1664,1.19,76,79,333,1664,0.27,223,226,92,15
Afriyie Acquah,29,694569600,1992/01/05,Serie A,2014/2015,Midfielder,Sampdoria,1837,875,962,Ghana,24,13,11,1,0,1,0,0,0,0,0,4,4,0,35,14,21,13,2,0.05,0,0.05,0,0.09,1837,1.71,52,77,141,0,0.64,228,423,-1,12
Ahmed Hegazi,30,664761600,1991/01/25,Serie A,2014/2015,Defender,Fiorentina,0,0,0,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alassane També,29,696384000,1992/01/26,Serie A,2014/2015,Defender,Genoa,141,61,80,Mali,6,2,4,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0.64,141,24,0,0,0,-1,-1,-1,16
