full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdou Lahad Diakhaté,22,915062400,1998/12/31,Serie A,2018/2019,Midfielder,Parma,0,0,0,Senegal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abukar Mohamed,22,915148800,1999/01/01,Serie A,2018/2019,Midfielder,Lazio,0,0,0,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adam Marušić,28,719280000,1992/10/17,Serie A,2018/2019,Defender,Lazio,2113,1162,951,Montenegro,26,13,13,1,1,0,1,0,1,0,0,7,3,4,26,16,10,3,1,0.09,0.04,0.04,0.08,0,2113,1.11,81,81,528,2113,0.17,244,230,55,14
Ádám Nagy,25,803347200,1995/06/17,Serie A,2018/2019,Midfielder,Bologna,973,484,489,Hungary,14,6,8,0,0,0,0,0,0,0,0,3,2,1,18,6,12,4,1,0,0,0,0,0,0,1.66,54,70,243,0,0.37,367,342,-1,22
Adam Ounas,24,847670400,1996/11/11,Serie A,2018/2019,Midfielder,Napoli,532,238,294,Algeria,18,10,8,3,2,1,0,0,0,0,0,10,6,4,4,0,4,0,0,0.51,0,0.51,0.76,0.31,177,0.68,133,30,0,0,0,17,368,-1,8
Adem Ljajić,29,686102400,1991/09/29,Serie A,2018/2019,Forward,Torino,29,0,29,Serbia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,-1,-1,-1,20
Adrian Šemper,23,884563200,1998/01/12,Serie A,2018/2019,Goalkeeper,Chievo,540,270,270,Croatia,6,3,3,0,0,0,0,0,0,0,0,2,1,1,8,5,3,0,0,0,0,0,0,0,0,1.33,68,90,0,0,0,279,349,88,28
Afriyie Acquah,29,694569600,1992/01/05,Serie A,2018/2019,Midfielder,Empoli,1514,850,664,Ghana,28,15,13,2,2,0,0,0,0,0,0,4,3,1,27,11,16,4,0,0.12,0,0.12,0.21,0,757,1.61,56,54,379,0,0.24,141,326,-1,8
Alban Lafont,22,917049600,1999/01/23,Serie A,2018/2019,Goalkeeper,Fiorentina,3016,1576,1440,France,34,18,16,0,0,0,0,0,0,0,0,9,6,3,40,18,22,2,0,0,0,0,0,0,0,1.19,75,89,1508,0,0.06,304,302,69,22
Alberto Cerri,25,829612800,1996/04/16,Serie A,2018/2019,Forward,Cagliari,667,194,473,Italy,15,6,9,0,0,0,0,0,0,0,0,2,1,1,11,4,7,3,0,0,0,0,0,0,0,1.48,61,44,222,0,0.4,357,334,-1,18
