full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdelaziz Barrada,31,614214000,1989/06/18,La Liga,2012/2013,Midfielder,Getafe CF,2588,1309,1279,Morocco,32,16,16,4,2,2,6,5,1,0,0,9,5,4,31,14,17,5,1,0.35,0.21,0.14,0.14,0.14,647,1.08,83,81,431,431,0.21,131,67,-1,4
Abdelkader Oueslati Kaabi,29,686790000,1991/10/06,La Liga,2012/2013,Midfielder,Atlético Madrid,15,0,15,Tunisia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-1,-1,-1,22
Abdón Prats Bastidas,28,723686400,1992/12/07,La Liga,2012/2013,Forward,RCD Mallorca,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abel Enrique Aguilar Tapia,36,473817600,1985/01/06,La Liga,2012/2013,Midfielder,Deportivo La Coruña,2413,1221,1192,Colombia,28,14,14,3,0,3,3,2,1,0,0,6,5,1,51,19,32,14,1,0.22,0.11,0.11,0,0.23,804,1.9,47,86,172,804,0.52,159,126,-1,5
Abraham Minero Fernández,35,509414400,1986/02/22,La Liga,2012/2013,Defender,Real Zaragoza,3125,1530,1595,Spain,35,17,18,0,0,0,2,1,1,0,0,6,3,3,47,18,29,15,1,0.06,0.06,0,0,0,0,1.35,66,89,208,1563,0.43,344,193,105,30
Ádám Pintér,32,582073200,1988/06/11,La Liga,2012/2013,Midfielder,Real Zaragoza,1354,564,790,Hungary,18,7,11,0,0,0,0,0,0,0,0,5,3,2,18,4,14,5,0,0,0,0,0,0,0,1.2,75,75,271,0,0.33,366,398,-1,19
Adil Rami,35,504489600,1985/12/27,La Liga,2012/2013,Defender,Valencia CF,2080,1186,894,France,25,15,10,0,0,0,2,2,0,0,0,7,5,2,26,14,12,6,1,0.09,0.09,0,0,0,0,1.13,80,83,347,1040,0.26,338,163,53,16
Adrià Carmona Pérez,29,697507200,1992/02/08,La Liga,2012/2013,Midfielder,Real Zaragoza,52,0,52,Spain,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,52,0,1.73,-1,-1,-1,17
Adrián,34,536630400,1987/01/03,La Liga,2012/2013,Goalkeeper,Atlético Madrid,1503,620,883,Spain,32,15,17,3,3,0,1,1,0,0,0,16,8,8,15,6,9,0,0,0.24,0.06,0.18,0.44,0,501,0.9,100,47,0,1503,0,104,190,18,5
Adrián Colunga Pérez,36,469497600,1984/11/17,La Liga,2012/2013,Forward,Getafe CF,1271,725,546,Spain,22,12,10,6,4,2,6,5,1,0,0,5,3,2,19,8,11,4,0,0.85,0.42,0.42,0.5,0.33,212,1.35,67,58,318,212,0.28,32,9,-1,2
