full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Kamardin,19,1018224000,2002/04/08,Ligue 1,2020/2021,Defender,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aaron Leya Iseka,23,879552000,1997/11/15,Ligue 1,2020/2021,Forward,Metz,1010,609,401,Belgium,21,12,9,4,1,3,0,0,0,2,1,6,2,4,15,10,5,4,0,0.36,0,0.36,0.15,0.67,253,1.34,67,48,253,0,0.36,44,267,-1,3
Abdou Diallo,25,831168000,1996/05/04,Ligue 1,2020/2021,Defender,PSG,1488,716,772,France,22,10,12,0,0,0,1,0,1,0,0,12,5,7,10,4,6,4,2,0.06,0.06,0,0,0,0,0.6,149,68,298,1488,0.3,308,194,8,24
Abdoulaye Bakayoko,0,0,1970/01/01,Ligue 1,2020/2021,Defender,Saint-Étienne,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdoulaye Bamba,31,641001600,1990/04/25,Ligue 1,2020/2021,Defender,Angers SCO,1350,643,707,Côte d'Ivoire,16,8,8,0,0,0,0,0,0,0,0,5,2,3,22,9,13,2,0,0,0,0,0,0,0,1.47,61,84,675,0,0.13,366,361,115,30
Abdoulaye Ousame,21,951177600,2000/02/22,Ligue 1,2020/2021,Defender,Strasbourg,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdoulaye Sidibe,19,1013212800,2002/02/09,Ligue 1,2020/2021,Forward,Saint-Étienne,10,0,10,Mali,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,9,10,10,10,0,9,-1,-1,-1,26
Abdoulaye Sylla,0,0,1970/01/01,Ligue 1,2020/2021,Defender,Nantes,6,6,0,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,6,3,0,0,0,-1,-1,-1,25
Abdoulaye Touré,27,762652800,1994/03/03,Ligue 1,2020/2021,Midfielder,Nantes,1681,881,800,France,29,15,14,2,1,1,2,1,1,1,0,2,1,1,28,15,13,2,0,0.21,0.11,0.11,0.1,0.11,841,1.5,60,58,841,841,0.11,155,127,-1,8
Abdul Majeed Waris,30,685238400,1991/09/19,Ligue 1,2020/2021,Forward,Strasbourg,546,155,391,Ghana,15,7,8,1,1,0,0,0,0,1,0,5,3,2,9,1,8,0,0,0.16,0,0.16,0.58,0,546,1.48,61,36,0,0,0,128,419,-1,12
Aboubakar Kamara,26,794534400,1995/03/07,Ligue 1,2020/2021,Forward,Dijon,560,243,317,France,10,5,5,1,0,1,0,0,0,0,0,2,1,1,9,3,6,2,1,0.16,0,0.16,0,0.28,560,1.45,62,56,187,0,0.48,129,277,-1,11
Adam Oudjani,20,999043200,2001/08/29,Ligue 1,2020/2021,Midfielder,Lens,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adama Traore,26,802310400,1995/06/05,Ligue 1,2020/2021,Forward,Metz,0,0,0,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adil Aouchiche,19,1026691200,2002/07/15,Ligue 1,2020/2021,Midfielder,Saint-Étienne,1739,866,873,France,34,16,18,2,1,1,5,3,2,0,0,10,4,6,24,12,12,2,0,0.36,0.26,0.1,0.1,0.1,870,1.24,72,51,870,348,0.1,165,34,-1,9
Adil Ben Achour,19,1012521600,2002/02/01,Ligue 1,2020/2021,Forward,Montpellier,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adilson Malanda,19,1004313600,2001/10/29,Ligue 1,2020/2021,Defender,Nîmes,18,18,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,9,18,0,0,0,-1,-1,-1,15
Adrián Andrés Cubas,25,831772800,1996/05/11,Ligue 1,2020/2021,Midfielder,Nîmes,2252,962,1290,Argentina,27,12,15,1,1,0,0,0,0,0,0,6,1,5,44,22,22,6,1,0.04,0,0.04,0.09,0,2252,1.76,51,83,375,0,0.24,244,320,-1,9
Adrian Grbic,25,839116800,1996/08/04,Ligue 1,2020/2021,Midfielder,Lorient,945,428,517,Austria,33,16,17,4,2,2,0,0,0,3,0,3,2,1,18,8,10,2,0,0.38,0,0.38,0.42,0.35,236,1.71,53,29,473,0,0.19,40,410,-1,4
Adrien Hunou,27,758937600,1994/01/19,Ligue 1,2020/2021,Midfielder,Rennes,580,336,244,France,20,11,9,4,2,2,0,0,0,0,0,5,2,3,5,4,1,1,0,0.62,0,0.62,0.54,0.74,145,0.78,116,29,580,0,0.16,8,339,-1,4
